Price,Airline,Departure Date,Departure Time
572.18,AC,2025-07-06,2025-07-06T17:30:00
572.18,AC,2025-07-07,2025-07-07T15:25:00
588.39,TP,2025-07-05,2025-07-05T22:05:00
588.39,TP,2025-07-06,2025-07-06T16:30:00
591.83,UA,2025-07-05,2025-07-05T15:45:00
591.83,UA,2025-07-06,2025-07-06T13:25:00
591.83,AC,2025-07-05,2025-07-05T09:00:00
591.83,AC,2025-07-05,2025-07-05T18:55:00
591.83,AC,2025-07-06,2025-07-06T09:25:00
591.83,AC,2025-07-05,2025-07-05T09:00:00
591.83,AC,2025-07-05,2025-07-05T18:05:00
591.83,AC,2025-07-06,2025-07-06T09:25:00
597.57,AC,2025-07-05,2025-07-05T15:55:00
597.57,AC,2025-07-05,2025-07-05T21:10:00
597.57,AC,2025-07-06,2025-07-06T13:25:00
597.57,AC,2025-07-05,2025-07-05T10:30:00
597.57,AC,2025-07-05,2025-07-05T16:30:00
597.57,AC,2025-07-06,2025-07-06T09:25:00
597.57,AC,2025-07-05,2025-07-05T10:30:00
597.57,AC,2025-07-05,2025-07-05T18:20:00
597.57,AC,2025-07-06,2025-07-06T09:25:00
599.75,FI,2025-07-05,2025-07-05T23:10:00
599.75,FI,2025-07-07,2025-07-07T07:30:00
637.21,OS,2025-07-05,2025-07-05T21:45:00
637.21,OS,2025-07-06,2025-07-06T13:20:00
637.21,OS,2025-07-06,2025-07-06T21:00:00
637.21,OS,2025-07-05,2025-07-05T21:45:00
637.21,OS,2025-07-06,2025-07-06T14:55:00
637.21,OS,2025-07-06,2025-07-06T21:00:00
637.21,OS,2025-07-05,2025-07-05T21:45:00
637.21,OS,2025-07-06,2025-07-06T17:10:00
637.21,OS,2025-07-06,2025-07-06T21:00:00
637.21,OS,2025-07-05,2025-07-05T21:45:00
637.21,OS,2025-07-06,2025-07-06T18:30:00
637.21,OS,2025-07-06,2025-07-06T21:00:00
637.21,OS,2025-07-05,2025-07-05T21:45:00
637.21,OS,2025-07-06,2025-07-06T18:00:00
637.21,OS,2025-07-06,2025-07-06T21:00:00
663.35,FI,2025-07-05,2025-07-05T20:25:00
663.35,FI,2025-07-06,2025-07-06T07:30:00
677.67,6X,2025-07-05,2025-07-05T17:40:00
693.58,6X,2025-07-05,2025-07-05T17:00:00
693.58,6X,2025-07-06,2025-07-06T15:25:00
694.84,6X,2025-07-05,2025-07-05T05:00:00
694.84,6X,2025-07-05,2025-07-05T16:05:00
694.84,6X,2025-07-05,2025-07-05T05:00:00
694.84,6X,2025-07-05,2025-07-05T16:10:00
694.92,6X,2025-07-05,2025-07-05T10:00:00
694.92,6X,2025-07-06,2025-07-06T15:25:00
805.22,AF,2025-07-05,2025-07-05T21:30:00
805.22,AF,2025-07-06,2025-07-06T12:40:00
805.22,AF,2025-07-05,2025-07-05T01:00:00
805.22,AF,2025-07-05,2025-07-05T19:20:00
805.22,AF,2025-07-05,2025-07-05T23:30:00
